"Дата, время начала",Районы,подтвержденные (прогноз оправдался),"НЯ, ОЯ, КНЯ",Тип явления,Критерий,Характеристика,Последствия
2019-07-11 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"На большей части территории небольшой и умеренный дождь, в отдельных районах гроза., при грозе порывы 15-20 м/с.",
2019-07-13 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный ливень , Крупный град","13-14.07 местами по Пермскому краю ожидается сильный, очень сильный дождь, сильный ливень, крупный град, при грозах усиление ветра 15-20 м/с, в отдельных районах шквал до 25 м/с.",
2019-07-14 00:00:00,Местами по краю,,ОЯ,КНЯ," Очень сильный ветер , Очень сильный дождь , Сильный ливень , Крупный град","14.07 местами по Пермскому краю ожидается сильный, очень сильный дождь, сильный ливень, крупный град, при грозах усиление ветра 15-20 м/с, в отдельных районах шквал до 25 м/с.",
2019-07-15 00:00:00,Местами по краю,,ОЯ,Метеорологическое," Град, ливень, сильный дождь, сильный ветер","местами сильный и очень сильный дождь, сильный ливень, крупный град, гроза. Ветер северный, северо-западный 5-10 м/с, при грозе порывы 15-20 м/с, в отдельных районах шквал до 25 м/с.",
2019-07-15 20:00:00,, +,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный ливень , Крупный град","15 июля местами по ПК сохраняются сильный, очень сильный дождь, сильный ливень, крупный град, при грозах усиление ветра 15-20",
2019-07-19 10:00:00,Местами по краю,,НЯ,КНЯ, Очень сильный ветер,порывы ветра при грозе 15-20 м/с,
2019-07-21 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,"            Переменная облачность, ночью местами, днем на большей части территории небольшие и умеренные дожди, грозы, ночью и утром туманы. Ветер юго-западный, западный  3-8 м/с,  при грозах порывы 15-20 м/с. Температура воздуха ночью 11-16°, днем 22-27",
2019-07-27 00:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами по северу края сильные дожди, грозы порывы ветра при грозе до 18 м/с",
2019-07-28 00:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный дождь , Крупный град","28 и 29 июля местами по ПК ожидаются сильный и очень сильный дождь, крупный град, при грозах усиление ветра, порывы 20-25 м/с",
2019-07-29 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный ливень , Крупный град","Облачно, дождь, местами сильный и очень сильный дождь, сильный ливень, крупный град,днем гроза,ночью и утром в отдельных районах туман. Ветер северо-западный, западный ночью 3-8 м/с, днем 7-12 м/с, при грозах порывы 15-20 м/с, в отдельных районах до 25 м",
2019-08-01 00:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный ливень,Местами по краю сильный дождь,
2019-08-01 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь , Сильный ливень","Вечером 01, 02-03 августа местами по Пермскому краю ожидается сильные и очень сильные дожди, усиление с-з ветра порывы 15-20 м/с.",
2019-08-02 20:00:00,Местами по краю,,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами по Пермскому краю ожидаются очень сильные дожди, вероятность возникновения дождевых паводков в большинстве рек края, в том числе в малых реках, переувлажнение почвы.",
2019-08-06 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","ночью и утром по сверу сильный дождь, порывы ветра 16-21 м/с",
2019-08-10 20:00:00,Местами по краю,,НЯ,КНЯ, Очень сильный дождь,по северу и западу края сильные дожди - НН не взяли,
2019-09-11 00:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный дождь,местами по краю сильный дождь,
2019-08-12 20:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный ливень,"Местами по краю сильный дождь, гроза, порывы ветра до 15 м/с, туман",
2019-08-16 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","17 августа ожидается неблагоприятные метеорологические явления: в отдельных районах сильный дождь, гроза, при грозе порывы ветра 15-20 м/с, ночью и утром туман.",
2019-08-17 20:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный ливень,"На 18.08.2019 ожидаются неблагоприятные метеорологические явления- в отдельных районах сильный дождь, гроза.",
2019-08-24 20:00:00,Местами по краю,,НЯ,Метеорологическое, Сильный ливень,"Облачная погода с прояснениями, ночью на большей части территории, днем повсеместно небольшой и умеренный, местами сильный дождь, в отдельных районах ночью и утром туман, днем гроза. Ветер ночью юго-западный, южный, днем юго-западный, западный 5-10 м/с,",
2019-08-25 20:00:00,"Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР, ГО г. Гремячинск, ГО г. Кизел, ГО г. Горнозаводск",,НЯ,Метеорологическое, Очень сильный дождь,"По востоку края местами сильный дождь,гроза.",
2019-08-26 20:00:00,"Верещагинский МР, Сивинский МР, Кудымкарский МР",,НЯ,КНЯ, Очень сильный дождь,по западу сильный дождь,
2019-08-27 20:00:00,ВСЕ муниципальные образования, +,НЯ,КНЯ, Очень сильный дождь,местами по краю сильный дождь,
2019-08-28 20:00:00,"Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР, ГО г. Пермь, ГО г. Гремячинск, ГО г. Кизел, ГО г. Горнозаводск, ГО г. Чермоз", +,НЯ,Метеорологическое, Сильный ливень,по востоку в отдельных районах сильные дожди,
2019-08-29 00:00:00,"Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР, ГО г. Гремячинск, ГО г. Горнозаводск",,ОЯ,Метеорологическое, Очень сильный дождь,Ночью с 28 на 29 августа ожидаются опасные метеорологические явления: местами по востоку Пермского края ожидается очень сильный дождь.,
2019-08-29 20:00:00,Местами по краю,,ОЯ,Метеорологическое, Аномально холодная погода,Ночью 30 и 31.08 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -2,
2019-08-30 23:00:00,Местами по краю,,ОЯ,КНЯ, Заморозки,Местами по Пермскому рка. ожидаются заморозки в воздухе и на поверхности почвы до -2,
2019-09-18 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Сильный ливень","Местами сильный дождь, днем порывы ветра 15-20 м/с.",
2019-09-19 20:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,ночью 20-22 сентября 2019 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы до -3°.,нет
2019-09-21 20:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"Заморозки в воздухе и на поверхности почвы 0, -3",
2019-09-22 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Аномально холодная погода,"Ночью 23-24-09 по Пермскому краю сохранятся заморозки в воздхе и на поверхности почвы до -3, в Перми ожидаются до -2.",
2019-09-23 00:00:00,Местами по краю, +,ОЯ,Агрометеорологическое, Заморозки,"Ночью 24.09 по Пермскому краю заморозки в воздухе и на поверхности почвы до -5°, в Перми ожидаются до -2°.",
2019-09-24 23:00:00,ВСЕ муниципальные образования, +,ОЯ,Агрометеорологическое, Заморозки,"заморозки в воздухе и на поверхности почвы по Пермскому краю -5, в Перми -2",
2019-10-01 20:00:00,ВСЕ муниципальные образования, +,НЯ,Метеорологическое, Очень сильный ветер,Порывы ветра 15-20 м/с,
2019-10-02 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Очень сильный ветер,порывы ветра до 18 м/с,
2019-10-13 10:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,днем порывы ветра 15-18 м/с,
2019-10-21 20:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","ночью дожди, местами сильные, порывы ветра 15-18 м/с",
2019-10-23 09:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,днем порывы ветра до 20 м/с,
2019-10-25 20:00:00,,,НЯ,Метеорологическое, Очень сильный ветер,днем порывы ветра 15-20 м/с,
2019-10-26 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный снег","27 октября ожидается облачная погода, ночью небольшие, местами умеренные осадки, днем умеренные, по северу местами сильные (дождь, по северу с мокрым снегом), в отдельных районах отложение мокрого снега. Ветер ночью западный, ю-з, днем з,с-з 8-20м/с",без последстий
2019-10-28 08:00:00,Местами по краю,,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами сильные осадки, в отдельных районах гололед, отложение мокрого снега на проводах. Порывы ветра 17-22 м/с",
2019-10-28 10:00:00,Местами по краю, +,КНЯ,КНЯ," Сильные осадки в виде снега, усиление ветра, понижение темп. воздуха в переходные сезоны года ...","днем и вечером местами по краю ожидается очень сильный снег, усиление ветра порывы 20-25 м/с",
2019-10-28 20:00:00,,,НЯ,Метеорологическое, Очень сильный ветер,"порывы ветра 15-18 м/с, снежные накаты",
2019-11-04 08:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный ветер,днем местами по краю до 18 м/с,
2016-11-04 20:00:00,Местами по краю, +,КНЯ,КНЯ," Гололед, налипание мокрого снега при сильном ветре, сильный мокрый снег, сильный снег","Сильный снег, мокрый снег, налипание мокрого снега на провода, на дорогах гололедица",
2019-11-06 11:00:00,, +,ОЯ,Метеорологическое,,"06 и 07 ноября местами по Пермскому краю ожидается очень сильный снег, мокрый снег, сильный гололед, сильное сложное отложение, сильное отложение мокрого снега",
2019-11-07 20:00:00,,,НЯ,Метеорологическое,,"ночью 08 ноября ожидаются сильные осадки (по северу снег, мокрый снег, по югу дождь, переходящий в снег)",
2019-11-13 00:00:00,"Гремячинск (район) МР, Губахинский МР, Горнозаводский МР, ГО г. Гремячинск, ГО г. Губаха, ГО г. Горнозаводск",,ОЯ,Метеорологическое,,"13-15 ноября 2019 на территории Пермского края прогнозируются опасные метеорологические явления: местами по востоку Пермского края сохранится сильный гололед, сильное сложное отложение, сильное отложение мокрого снега.",
2019-11-16 00:00:00,"Гремячинск (район) МР, Губахинский МР, Горнозаводский МР, ГО г. Гремячинск, ГО г. Губаха, ГО г. Горнозаводск", +,ОЯ,КНЯ,,"16-18.11 местами по востоку сохранится сильный гололед, ССО, сильное отложение мокрого снега",
2019-11-19 00:00:00,"Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР", +,ОЯ,Метеорологическое,,"местами по востоку ПК сохранится сильный гололед, сильное сложное отложение, в отдельных районах ожидается изморозь.",
2019-11-22 00:00:00,"Александровский МР, Соликамск  (район) МР, Красновишерский МР, Лысьва (район) МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Кизел, ГО г. Лысьва, ГО г. Горнозаводск",,ОЯ,Метеорологическое,,22-24.11 местами по востоку Пермского края сохранятся сильное сложное отложение.,
2019-11-24 20:00:00,, +,ОЯ,КНЯ,,25-27.11 по востоку Пермского края сохранится сильное сложное отложение,
2019-11-28 00:00:00,,,ОЯ,Метеорологическое,,,
2019-11-30 00:00:00,, +,ОЯ,Метеорологическое,,1-3 декабря местами по востоку края сохраняется сильное сложное отложение,
2019-12-04 00:00:00,,,ОЯ,Метеорологическое,,4-5.12.2019 местами по востоку Пермского края сохранится ССО,
2019-12-09 00:00:00,,,ОЯ,КНЯ,,местами по востку ПК сохраняется сильное сложное отложение.,
2019-12-12 02:00:00,"Гремячинск (район) МР, Кизеловский МР, Горнозаводский МР, ГО г. Гремячинск, ГО г. Кизел, ГО г. Горнозаводск", +,ОЯ,Метеорологическое,,"В ближайшие 3-4 часа и днем 12 ноября местами по востоку Пермского края ожидается сильный гололед, сильное сложное отложение, сильное отложение мокрого снега.",
2020-01-03 20:00:00,,,НЯ,КНЯ,,"местами умеренный снег (мокрый снег, дождь), порывы ветра 15-18 м/с.",
2020-01-07 09:15:00,Местами по краю,,ОЯ,Метеорологическое, Сильное гололедно-изморозевое отложение на проводах,днем 07 и 08 января местами по востоку Пермского края ожидается сильное сложное отложение.,
2020-01-12 20:00:00,, +,НЯ,КНЯ,,"сильный снег, метель, порывы ветра 15-18",
2020-01-15 20:00:00,,,КНЯ,КНЯ,,"снег, местами сильный мокрый снег переходящий в дождь, метель, гололедные явления, порывы ветра до 17 м/с.",
2020-01-18 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный снег,сильный снег,
2020-01-21 20:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,"местами по краю сильные осадки, метель, гололедно-изморозевые отложения, на дорогах гололедица, порывы ветра до 18 м/с.",
2020-02-17 20:00:00,, +,КНЯ,КНЯ,,"Ночь. снег, мокрый снег, местами сильный, метель, в отдельных районах гололед, налипание мокрого снега, на дорогах гололедица, порывы ветра 15-20 м/с.",
2020-03-13 20:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,порывы ветра 15-20 м/с,
2020-03-17 20:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,порывы ветра 15-20 м/с,
2020-04-17 20:00:00,,,НЯ,КНЯ,,Местами по краю порывы ветра 15-20 м/с,
2020-04-25 20:00:00,, +,НЯ,Метеорологическое,,Местами порывы ветра 15-20 м/с,Аварийные отключения электроснабжения в 5 муниципальных образованиях
2020-04-26 09:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"местами по ПК ожидаются грозы, сильный дождь, по северу со снегом, отложения мокр.снега на проводах, шквалистое усиление ветра 20-25 м/с",
2020-05-06 12:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое,,С 6 по 10 мая ожидается аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7 и более градусов. Ожидаемая среднесуточная температура воздуха 16-19 градусов.,
2020-05-09 08:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,9-11 мая местами по пермскому краю ожидается 4 КПО,
2020-05-09 20:00:00,, +,НЯ,КНЯ,,местами порывы ветра 15-20 м/с.,
2020-05-11 12:00:00,ВСЕ муниципальные образования,,ОЯ,Метеорологическое,,11.05 в крае сохранится аномально жаркая погода выше климатической нормы на 7 градусов и более. Ожидается среднесуточная температура воздуха 14-17 градусов.,
2020-05-25 14:00:00,ВСЕ муниципальные образования,,ОЯ,КНЯ,,"Днем 25 мая с сохранением ночью 26 мая местами по Пермскому краю ожидается гроза, крупный град, очень сильный дождь, сильный ливень, шквалистое усиление ветра 20-25 м/с.",
2020-05-25 20:00:00,, +,НЯ,Гидрологическое,,"днем 25 мая на территории горно-восточных районов прошли очень сильные осадки до 30 мм, возможны интенсивные подъемы уровней воды, возможно формирование дождевого паводка, увеличение притока воды в Широковское водохранилище и водохранилище Яйвинской ГРЭС",
2020-05-26 20:00:00,, +,НЯ,Метеорологическое,,местами при грозах порывы ветра 15-20 м/с.,
2020-06-03 21:00:00,,,ОЯ,Агрометеорологическое,,"ночью 3 и 4 июня местами по Пермскому краю ожидаются заморозки в вохдухе и на поверхности почьвы 0, -2",
2020-06-08 08:00:00,,,ОЯ,Метеорологическое,,8-11 июня местами по Пермскому краю высокая пожарная опасность 4 класс,
2020-06-08 12:00:00,Местами по краю,,ОЯ,Метеорологическое," Аномально жаркая погода , Чрезвычайная пожарная опасность",С 10 по 11 июня местами по Пермскому краю ожидается аномально жаркая погода со среднесут. температурой воздуха выше клим. нормы на 7 и более. Ожидаемая средняя температура воздуха 19-24.8-11 июня местами по краю ожидается 4 КПО.,
2020-06-11 15:46:00,Местами по краю,,ОЯ,Метеорологическое," Аномально жаркая погода , Чрезвычайная пожарная опасность",12-15 местами по Пермскому краюсохранится высокая пожарная опасность (4 класс),
2020-06-12 20:00:00,, +,НЯ,Метеорологическое,,"местами сильный дождь, гроза, град, порывы ветра при грозе 17-22 м/с.",
2020-06-14 00:00:00,,,ОЯ,Агрометеорологическое,,"ночью 14.06 местами по краю ожидаются заморозки в воздухе и на поверхности почвы 0, -2.",
2020-06-16 12:00:00,,,ОЯ,Метеорологическое,,16-17 июня местами по Пермскому краю сохранится высокая пожарная опасность 4 класс,
2020-06-18 12:00:00,,,ОЯ,Метеорологическое,,с 18 по 20 июня местами по югу края сохранится высокая пожарная опасность (4 класс).,
2020-06-20 20:00:00,,,НЯ,Агрометеорологическое,,Ночью 21.06.2020 местами по Пермскому  краю ожидаются заморозки до -2,
2020-06-20 20:00:00,,,ОЯ,Агрометеорологическое,,"Ночью 21 и 22 июня местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -1",
2020-06-20 12:00:00,, +,ОЯ,Метеорологическое,,21-23.06 по югу Пермского края сохранится высокая пожарная опасность (4 класс).,
2020-06-28 06:00:00,"Александровский МР, Лысьва (район) МР, Гремячинск (район) МР, Губахинский МР, Горнозаводский МР, Чусовской МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Лысьва, ГО г. Чусовой, ГО г. Горнозаводск", +,ОЯ,Метеорологическое,,28 июня местами по краю ожидаются очень сильные дожди,
2020-07-04 20:00:00,,,НЯ,Метеорологическое,,"местами сильный дождь, гроза, порывы ветра 15-20 м/с.",
2020-07-05 20:00:00,,,НЯ,Метеорологическое,,"местами сильный дождь, гроза, порывы ветра 15-20 м/с.",
2020-07-10 09:08:00,, +,ОЯ,Метеорологическое,,10 июля местами по Пермскому краю ожидается сильная жара 36 градусов и выше,
2020-07-10 20:00:00,,,НЯ,Метеорологическое,,"Ночью и утрои местами по Пермскому краю сильный дождь, град, гроза, при грозе порывы ветра 17-22 м/с",
2020-07-10 20:00:00,,,ОЯ,Метеорологическое,,11-13 июля 2020 местами по Пермскому краю ожидается высокая пожарная опасность (4 класс).,
2020-07-14 00:00:00,ВСЕ муниципальные образования, +,ОЯ,Метеорологическое,,"Местами по Пермскому краю 4 класс.С 14 по 18 июля  температурой воздуха выше климатической нормы на 7 град и более, жара 30-35 град, с 14 по 16 июля местами сильная жара 36-38 град.",
2020-07-16 20:00:00,, +,НЯ,Метеорологическое,,"гроза, при грозе порывы 15-20 м/с.",
2020-07-17 20:00:00,, +,НЯ,Метеорологическое,,"гроза, при грозе порывы 15-20 м/с.",
2020-07-19 20:00:00,, +,ОЯ,Метеорологическое,,20-21.07 местами по Пермскому краю сохранится высокая пожарная опасность (4 класс),
2020-07-20 12:00:00,, +,ОЯ,Метеорологическое,,"очень сильный дождь, сильный ливень, крупный град, гроза, сильный дождь, ветер 15-20 м/с.",
2020-07-22 10:00:00,,,ОЯ,Метеорологическое,,22-24 июля местами по северу края ожидается чрезвычайная пожарная опасность 5 класс,
2020-07-24 20:00:00,, +,ОЯ,Метеорологическое,,местами по северу Пермского края ожидается чрезвычайная пожарная опасность (5 класс показателя пожарной опасности).,
2020-07-25 20:00:00,, +,ОЯ,Метеорологическое,,местами по северу Пермского края ожидается чрезвычайная пожарная опасность (5 класс показателя пожарной опасности).,
2020-07-27 00:00:00,, +,ОЯ,Метеорологическое,,Местами по северу Пермского края сохранится чрезвычайная пожарная опасность (5 КПО),
2020-07-30 08:00:00,,,ОЯ,Метеорологическое,,по северу и востоку края сохраняется высокая и чрезвычайная пожараня опасность (4-5 КПО),
2020-07-30 20:00:00,, +,НЯ,Метеорологическое,,"в отдельных районах сильный дождь, гроза, при грозе  порывы ветра 15-20 м/с.",
2020-08-01 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","в отдельных районах сильный дождь, гроза, порывы ветра 15-20 м/с.","27 мм в Гайнском МО, 25 мм в Березниковском ГО, 20 мм в Горнозаводском ГО), грозы, порывы ветра до 10 м/с."
2020-08-03 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами сильный дождь, гроза, при грозе порывы ветра 15-20 м/с.",
2020-08-06 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Сильный ливень , Крупный град","Днем местами по краю сильный дождь, ливень, гроза, град. При грозе порывы ветра 15-20 м/с.",
2020-08-07 14:00:00,Местами по краю, +,ОЯ,Метеорологическое," Шквал , Очень сильный дождь , Сильный ливень","очень сильный дождь. сильный ливень, крупный град, шквалистое усиление ветра 20-25 м/с.",
2020-08-09 20:00:00,Местами по краю, +,ОЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь",Очень сильный дождь,
2020-08-17 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами сильный дождь, порывы ветра до 18 м/с.",
2020-08-19 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Очень сильный ветер,порывы ветра 15-18 м/с.,
2020-08-31 20:00:00,Местами по краю, +,НЯ,Метеорологическое," Очень сильный ветер , Очень сильный дождь","местами сильный дождь, гроза, при грозе порывы ветра 15-20 м/с",
2020-09-03 20:00:00,Местами по краю,,ОЯ,Агрометеорологическое, Заморозки,"Ночью 04.09 местами по Пермскому краю ожидаются заморозки в воздухе и на поверхности почвы 0, -2.",
2020-09-05 12:00:00,Местами по краю,,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,05-07.09 местами по югу Пермского края ожидается высокая пожарная опасность ( 4 класс).,
2020-09-07 15:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,08-09.09 местами по югу Пермского края  сохранится высокая пожарная опасность (4 класс),
2020-09-09 13:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,10-11 сентября местами по югу Пермского края сохранится высокая пожарная опасность (4 класс).,
2020-09-11 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Чрезвычайная пожарная опасность,12-14 сентября местами по югу Пермского края сохранится высокая пожарная опасность  (класс),
2020-09-17 20:00:00,,,ОЯ,Агрометеорологическое,,"заморозки на поверхности и в воздухе 0, -2",
2020-11-19 20:00:00,Местами по краю, +,КНЯ,КНЯ," Гололед, налипание мокрого снега при сильном ветре, сильный мокрый снег, сильный снег","Порывы ветра 15-18 м/с, метель, гололедно-изморозевые отложения, гололелица, умеренные осадки (снег, мокрый снег, ледяной дождь).",происшествий не зарегистрировано
2020-12-21 20:00:00,,,НЯ,Метеорологическое,,"утром и днем по северу сильный снег, мокрый снег, в отдельных районах гололед, отложение мокрого снега.",
2020-12-29 20:00:00,, +,ОЯ,Метеорологическое,,"29.12-02.01 местами по Пермскому краю ожидается аномально холодная погода сос среднесуточной температурой воздуха ниже климатической нормы на 7 градусов и более. 3-31.12  местами по востоку сильный мороз -38,-40.",
2021-01-09 20:00:00,, +,НЯ,Метеорологическое,,"местами по краю (юг) сильный снег, метель, порывы ветра до 17 м/с",
2021-01-10 20:00:00,, +,НЯ,Метеорологическое,,"11.01.2021 местами по Пермскому краю прогнозируется небольшой снег, метель, порывы ветра до 17 м/с",
2021-01-14 00:00:00,, +,ОЯ,Метеорологическое,,"местами по краю очень сильный мороз, -40,-38",
2021-01-14 00:00:00,, +,ОЯ,Метеорологическое,,"Ночью 14.01 местами по Пермскому краю ожидается сильный мороз -40,-38°.",
2021-01-14 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Очень сильный снег,"снег. местами сильный, в отдельных районах метель, местами изморозь",
2021-01-15 20:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный снег,"местами сильный снег, метель",
2021-01-16 20:00:00,"Чердынский МР, Красновишерский МР, ГО г. Красновишерск, ГО г. Чердынь",,НЯ,Метеорологическое,,ночью местами по северу сильный снег,
2021-01-24 08:00:00,,,НЯ,Метеорологическое,,днем местами сильный снег,
2021-01-27 20:00:00,,,НЯ,Метеорологическое,,"днем снег по северу до сильного, метель, в отдельных районах снежные заносы. На дорогах гололедица. Днем порывы ветра до 17 м/с.",
2021-02-05 20:00:00,, +,НЯ,Метеорологическое,,,
2021-02-06 23:00:00,"Александровский МР, Красновишерский МР, Гремячинск (район) МР, Губахинский МР, Кизеловский МР, Горнозаводский МР, Гайнский МР, ГО г. Александровск, ГО г. Гремячинск, ГО г. Губаха, ГО г. Горнозаводск, ГО г. Красновишерск", +,НЯ,Метеорологическое, Очень сильный снег,"ночью по северу и востоку края снег до сильного, на дорогах гололедица",
2021-02-08 20:00:00,ВСЕ муниципальные образования, +,ОЯ,КНЯ,,"С 8 по 12 февраля в Пермском крае и в Перми ожидается аномально-холодная погода со среднесуточной температурой воздуха -22,-27?, что ниже климатической нормы на 7? и более.",
2021-02-10 23:00:00,Местами по краю, +,ОЯ,Метеорологическое," Сильный мороз , Аномально холодная погода","С 10 по 12 февраля в Пермском крае ожидается аномально холодная погода, ночью и утром 11 февраля мороз -30, -35, местами по северу сильный мороз -40.",
2021-02-11 20:00:00,, +,ОЯ,Метеорологическое,,с 11 по 12 в Пермском крае ожидается анамально холодная погода.,
2021-02-11 21:57:00,, +,ОЯ,Метеорологическое,,"В ближайшие 1-3 часа и утром 12.02 местами по северу Пермского края ожидается сильный мороз -40, -42.",
2021-02-12 20:00:00,,,НЯ,КНЯ,,"местами сильный снег, днем по югу с дождем. В отдельных районах гололедно-изморозевые отложения, днем налипание мокрого снега, туман.",
2021-02-14 00:00:00,,,НЯ,Метеорологическое,,"местами сильный снег, мокрый снег. В отдельных районах гололед, налипание мокрого снега, на дорогах гололедица. Местами порывы ветра до 18 м/с.",
2021-02-15 20:00:00,Местами по краю, +,ОЯ,Гидрологическое," Сильный мороз , Аномально холодная погода","16-20 февраля в Пермском крае ожидается аномально-холодная погода со среднесуточной температурой воздуха  ниже климатической нормы на 7?С и более. 18-20 февраля местами по северу Пермского края ожидается сильный мороз  -42,-40.",
2021-02-21 08:00:00,, +,ОЯ,Метеорологическое," Сильный мороз , Аномально холодная погода","21-25.02 в Пермском крае сохранится аномально холодная погода со среднесуточной температурой воздуха  ниже климатической нормы на 7? и более, местами по северу и в горно-восточных районах сильный мороз -43,-40?.",
2021-02-25 20:00:00,, +,ОЯ,Метеорологическое,,В период с 26.02 по 01.03 в Пермском крае сохранится аномально холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7 и более.,
2021-03-02 08:00:00,,,НЯ,Метеорологическое,,"днем 2 марта местами сильный снег, гололед.",
2021-03-07 20:00:00,Местами по краю, +,ОЯ,Метеорологическое, Аномально холодная погода,"07-09.03 местами по северу и востоку, 10-11.03 на большей части территории Пермского края и в Перми ожидается аномально-холодная погода со среднесуточной температурой воздуха ниже климатической нормы на 7°С и более.",
2021-03-11 00:00:00,, +,ОЯ,Метеорологическое,,"ночью и утром 11 марта в отдельных районах ПК ожидается мороз -30,-35, в горно-восточном районе сильный мороз -40",
2021-03-11 20:00:00,, +,ОЯ,Метеорологическое,,12.03 местами по Пермскому краю сохранится аномально холодная погода.,
2021-03-24 10:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный снег,днем порывы ветра до 17 м/с.,
2021-03-31 10:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный снег,днём порывы ветра 15-20 м/с.,
2021-04-01 00:00:00,Местами по краю,,НЯ,Метеорологическое, Очень сильный снег,ночью 01 апреля местами порывы ветра до 18 м/с.,
2021-04-10 20:00:00,,,НЯ,Метеорологическое,,,
2021-04-15 08:00:00,,,НЯ,Метеорологическое,,,
2021-04-17 00:00:00,,,НЯ,Метеорологическое,,Порывы до 18 м/с,
2021-04-21 00:00:00,,,НЯ,Метеорологическое,,Местами по краю порывы ветра до 17 м/с,
2021-04-24 20:00:00,Местами по краю, +,НЯ,Метеорологическое, Очень сильный ветер,Днем местами по Пермскому краю до 18 м/с,
2021-04-26 12:00:00,ВСЕ муниципальные образования,,НЯ,Метеорологическое,,Днем 26.04 местами по краю порывы ветра до 18 м/с,
2021-04-28 10:00:00,,,НЯ,Метеорологическое,,днем 28 апреля местами по краю порывы ветра 15-20 м/с,
